x,v
-0.957484,-0.292431
-0.98194,-0.19546
-0.996576,-0.0965339
-1.00125,0.00335728
-0.995905,0.103215
-0.980604,0.20204
-0.955497,0.298845
-0.920835,0.392662
-0.876964,0.482552
-0.824324,0.567616
-0.763441,0.647005
-0.694923,0.719923
-0.619457,0.785642
-0.537795,0.843504
-0.450756,0.892932
-0.359209,0.93343
-0.26407,0.964594
-0.16629,0.986112
-0.0668472,0.997769
0.0332639,0.999448
0.133042,0.991133
0.23149,0.972906
0.327624,0.94495
0.42048,0.907545
0.509133,0.861064
0.592693,0.805973
0.670327,0.742822
0.741258,0.672243
0.804776,0.594941
0.860246,0.51169
0.907114,0.423322
0.94491,0.330721
0.973258,0.234813
0.991873,0.136556
1.00057,0.0369338
0.99926,-0.0630576
0.987958,-0.162418
0.966776,-0.260155
0.935927,-0.35529
0.895718,-0.446873
0.846552,-0.533986
0.788921,-0.61576
0.7234,-0.691376
0.650646,-0.760078
0.571385,-0.82118
0.48641,-0.874069
0.396571,-0.918218
0.302766,-0.953185
0.205934,-0.97862
0.107042,-0.994269
0.00707995,-0.999975
-0.0929529,-0.995681
-0.192056,-0.981431
-0.289239,-0.957366
-0.38353,-0.923728
-0.473985,-0.880852
-0.5597,-0.829168
-0.639818,-0.769192
-0.713538,-0.701524
-0.780123,-0.626841
-0.838906,-0.545889
-0.889301,-0.459479
-0.930802,-0.368474
-0.962996,-0.273784
-0.985559,-0.176356
-0.998267,-0.077165
-1.00099,0.022798
-0.993707,0.122533
-0.976486,0.221043
-0.949499,0.317342
-0.913017,0.410468
-0.867405,0.499489
-0.813119,0.583515
-0.750702,0.661706
-0.680778,0.73328
-0.604046,0.797521
-0.521274,0.853787
-0.433289,0.901515
-0.340971,0.940228
-0.245243,0.969539
-0.147063,0.989154
-0.0474123,0.998878
0.0527126,0.998613
0.15231,0.988362
0.250385,0.968227
0.345956,0.93841
0.438067,0.899209
0.525798,0.851016
0.60827,0.794312
0.68466,0.729666
0.754203,0.657723
0.816205,0.579202
0.870044,0.49489
0.915183,0.405629
0.95117,0.312311
0.977645,0.21587
0.994344,0.117271
1.0011,0.0174987
0.997843,-0.0824484
0.984609,-0.181571
0.961529,-0.278878
0.928834,-0.373396
0.88685,-0.46418
0.835998,-0.550323
0.776785,-0.630962
0.709805,-0.705291
0.635727,-0.772568
0.555292,-0.832119
0.469303,-0.883349
0.378622,-0.925745
0.284154,-0.958884
0.186845,-0.982434
0.0876676,-0.996159
-0.0123867,-0.999923
-0.112317,-0.993688
-0.211124,-0.977516
